iter	Passed	Remaining
0	2	2747
1	5	2801
2	8	2710
3	10	2736
4	13	2691
5	16	2687
6	18	2666
7	21	2652
8	23	2638
9	26	2621
10	29	2610
11	31	2609
12	34	2614
13	36	2601
14	39	2605
15	41	2573
16	44	2552
17	46	2549
18	49	2545
19	52	2553
20	54	2540
21	57	2535
22	59	2533
23	62	2528
24	64	2522
25	67	2518
26	69	2505
27	71	2493
28	74	2487
29	76	2486
30	79	2480
31	81	2479
32	84	2485
33	87	2486
34	90	2483
35	92	2481
36	95	2475
37	97	2478
38	100	2480
39	103	2475
40	105	2478
41	108	2478
42	111	2474
43	113	2476
44	116	2472
45	119	2469
46	121	2469
47	124	2467
48	127	2472
49	130	2472
50	132	2469
51	135	2462
52	137	2455
53	139	2446
54	142	2442
55	144	2437
56	147	2434
57	149	2431
58	152	2424
59	154	2418
60	156	2412
61	159	2410
62	161	2408
63	164	2403
64	166	2392
65	168	2387
66	171	2387
67	173	2382
68	176	2379
69	178	2376
70	181	2373
71	183	2370
72	186	2365
73	188	2364
74	191	2360
75	193	2356
76	196	2351
77	199	2355
78	201	2350
79	204	2348
80	206	2348
81	209	2346
82	212	2343
83	214	2340
84	217	2337
85	219	2336
86	222	2334
87	224	2331
88	227	2329
89	230	2329
90	233	2328
91	235	2327
92	238	2324
93	240	2322
94	243	2317
95	245	2314
96	248	2309
97	250	2306
98	253	2309
99	256	2306
100	258	2303
101	261	2301
102	264	2300
103	266	2295
104	268	2291
105	271	2288
106	273	2284
107	276	2282
108	278	2278
109	281	2275
110	283	2272
111	286	2271
112	288	2267
113	291	2265
114	294	2262
115	296	2259
116	298	2255
117	301	2253
118	303	2248
119	306	2246
120	308	2244
121	311	2241
122	314	2240
123	316	2238
124	319	2235
125	321	2232
126	324	2230
127	327	2231
128	330	2229
129	333	2228
130	335	2226
131	338	2225
132	340	2222
133	343	2220
134	346	2217
135	348	2216
136	351	2214
137	354	2213
138	357	2211
139	359	2211
140	362	2208
141	364	2205
142	367	2202
143	370	2200
144	372	2198
145	375	2196
146	378	2194
147	380	2193
148	383	2192
149	386	2189
150	389	2187
151	391	2186
152	394	2185
153	397	2184
154	400	2183
155	403	2182
156	406	2180
157	408	2179
158	411	2176
159	414	2173
160	416	2171
161	419	2169
162	422	2167
163	425	2166
164	427	2164
165	430	2162
166	432	2159
167	435	2158
168	438	2156
169	441	2153
170	443	2150
171	446	2147
172	448	2145
173	451	2142
174	453	2139
175	456	2136
176	458	2134
177	461	2131
178	463	2127
179	466	2126
180	469	2122
181	471	2119
182	474	2116
183	476	2113
184	479	2111
185	481	2107
186	484	2106
187	487	2104
188	489	2101
189	492	2099
190	495	2097
191	497	2094
192	500	2092
193	503	2090
194	505	2086
195	507	2083
196	510	2081
197	513	2078
198	515	2076
199	518	2074
200	521	2073
201	524	2073
202	527	2071
203	530	2069
204	533	2068
205	536	2066
206	538	2064
207	541	2061
208	543	2057
209	545	2053
210	548	2050
211	551	2048
212	553	2045
213	556	2042
214	558	2040
215	561	2037
216	563	2035
217	566	2031
218	569	2030
219	572	2028
220	574	2026
221	577	2023
222	580	2022
223	582	2018
224	585	2015
225	587	2011
226	589	2008
227	592	2006
228	595	2003
229	597	2001
230	600	1999
231	603	1996
232	605	1993
233	608	1990
234	611	1989
235	614	1987
236	616	1984
237	618	1981
238	621	1979
239	623	1975
240	626	1973
241	629	1971
242	631	1968
243	634	1965
244	637	1963
245	640	1961
246	642	1959
247	645	1956
248	647	1953
249	650	1950
250	652	1947
251	655	1945
252	657	1942
253	660	1939
254	663	1937
255	665	1934
256	667	1930
257	670	1927
258	672	1924
259	675	1922
260	678	1919
261	680	1917
262	683	1914
263	685	1910
264	687	1907
265	690	1905
266	693	1903
267	695	1900
268	698	1897
269	700	1894
270	703	1892
271	705	1888
272	708	1886
273	710	1883
274	713	1881
275	716	1878
276	718	1875
277	721	1873
278	723	1870
279	726	1868
280	729	1865
281	731	1862
282	734	1860
283	736	1857
284	739	1855
285	742	1853
286	745	1850
287	747	1848
288	750	1845
289	752	1842
290	755	1840
291	758	1838
292	760	1835
293	763	1832
294	765	1830
295	768	1827
296	771	1825
297	773	1823
298	776	1820
299	779	1818
300	782	1816
301	784	1812
302	786	1809
303	789	1806
304	791	1804
305	794	1802
306	797	1799
307	799	1795
308	801	1793
309	804	1790
310	807	1787
311	809	1785
312	812	1782
313	814	1779
314	817	1776
315	820	1775
316	822	1772
317	824	1769
318	827	1766
319	830	1764
320	832	1761
321	835	1759
322	838	1756
323	840	1753
324	843	1751
325	845	1748
326	848	1745
327	851	1743
328	854	1742
329	856	1739
330	859	1737
331	862	1734
332	864	1732
333	867	1729
334	869	1726
335	872	1724
336	875	1721
337	878	1719
338	880	1717
339	883	1714
340	885	1712
341	888	1709
342	890	1706
343	893	1703
344	896	1701
345	899	1699
346	901	1696
347	904	1694
348	906	1691
349	909	1688
350	912	1686
351	914	1684
352	917	1681
353	920	1679
354	923	1677
355	925	1674
356	928	1671
357	930	1669
358	933	1666
359	936	1664
360	938	1661
361	941	1658
362	943	1655
363	946	1653
364	948	1650
365	951	1647
366	954	1645
367	956	1643
368	959	1639
369	961	1637
370	964	1634
371	967	1632
372	969	1629
373	972	1627
374	974	1624
375	977	1621
376	979	1619
377	982	1616
378	985	1614
379	987	1611
380	990	1608
381	993	1606
382	995	1604
383	998	1601
384	1000	1598
385	1003	1595
386	1006	1593
387	1008	1591
388	1010	1587
389	1013	1585
390	1016	1582
391	1018	1580
392	1021	1577
393	1024	1575
394	1026	1572
395	1029	1570
396	1032	1567
397	1035	1565
398	1037	1563
399	1040	1560
400	1042	1557
401	1045	1555
402	1048	1552
403	1050	1550
404	1053	1548
405	1056	1545
406	1059	1544
407	1062	1542
408	1065	1539
409	1068	1537
410	1071	1535
411	1073	1532
412	1076	1530
413	1079	1528
414	1082	1525
415	1084	1523
416	1087	1520
417	1089	1517
418	1092	1515
419	1095	1512
420	1098	1510
421	1100	1507
422	1103	1505
423	1105	1502
424	1108	1499
425	1111	1497
426	1113	1494
427	1116	1492
428	1119	1489
429	1121	1486
430	1124	1484
431	1127	1482
432	1129	1479
433	1132	1476
434	1134	1473
435	1137	1471
436	1140	1468
437	1142	1465
438	1145	1463
439	1148	1461
440	1151	1459
441	1153	1456
442	1156	1454
443	1158	1451
444	1161	1448
445	1164	1445
446	1166	1443
447	1169	1440
448	1171	1437
449	1174	1435
450	1177	1433
451	1180	1430
452	1182	1427
453	1184	1424
454	1187	1421
455	1189	1419
456	1192	1416
457	1194	1413
458	1197	1410
459	1199	1408
460	1201	1405
461	1204	1402
462	1206	1399
463	1209	1397
464	1212	1394
465	1215	1392
466	1217	1389
467	1220	1387
468	1222	1384
469	1225	1381
470	1227	1379
471	1230	1376
472	1233	1374
473	1236	1371
474	1238	1369
475	1241	1366
476	1244	1364
477	1246	1361
478	1248	1358
479	1251	1356
480	1254	1353
481	1257	1351
482	1259	1348
483	1262	1345
484	1264	1342
485	1266	1339
486	1270	1337
487	1272	1334
488	1275	1332
489	1278	1330
490	1280	1327
491	1283	1325
492	1286	1322
493	1289	1320
494	1291	1318
495	1294	1315
496	1297	1313
497	1300	1310
498	1303	1308
499	1305	1305
500	1307	1302
501	1310	1299
502	1313	1297
503	1315	1294
504	1318	1292
505	1320	1289
506	1323	1287
507	1326	1284
508	1328	1281
509	1330	1278
510	1333	1275
511	1336	1273
512	1338	1270
513	1341	1268
514	1343	1265
515	1346	1262
516	1348	1260
517	1351	1257
518	1354	1254
519	1357	1252
520	1359	1249
521	1361	1247
522	1364	1244
523	1366	1241
524	1369	1238
525	1371	1236
526	1374	1233
527	1377	1231
528	1380	1228
529	1382	1225
530	1385	1223
531	1387	1220
532	1389	1217
533	1392	1215
534	1395	1212
535	1397	1210
536	1400	1207
537	1403	1204
538	1405	1202
539	1408	1199
540	1410	1197
541	1413	1194
542	1415	1191
543	1418	1189
544	1420	1186
545	1423	1183
546	1425	1180
547	1427	1177
548	1430	1174
549	1432	1172
550	1435	1170
551	1438	1167
552	1441	1164
553	1443	1162
554	1446	1159
555	1448	1156
556	1450	1153
557	1453	1151
558	1455	1148
559	1458	1146
560	1461	1143
561	1464	1140
562	1466	1138
563	1469	1135
564	1471	1132
565	1474	1130
566	1477	1128
567	1479	1125
568	1482	1122
569	1485	1120
570	1488	1117
571	1490	1115
572	1493	1112
573	1495	1110
574	1498	1107
575	1500	1104
576	1502	1101
577	1505	1099
578	1507	1096
579	1510	1093
580	1512	1090
581	1515	1088
582	1517	1085
583	1520	1082
584	1522	1079
585	1524	1077
586	1527	1074
587	1529	1071
588	1532	1069
589	1535	1067
590	1538	1064
591	1540	1062
592	1543	1059
593	1546	1056
594	1549	1054
595	1551	1051
596	1554	1049
597	1557	1046
598	1559	1044
599	1562	1041
600	1565	1039
601	1567	1036
602	1570	1034
603	1573	1031
604	1575	1028
605	1578	1026
606	1581	1023
607	1583	1021
608	1585	1018
609	1588	1015
610	1591	1013
611	1593	1010
612	1595	1007
613	1598	1004
614	1601	1002
615	1603	999
616	1606	997
617	1609	994
618	1612	992
619	1614	989
620	1617	987
621	1620	984
622	1622	981
623	1625	979
624	1627	976
625	1629	973
626	1632	970
627	1634	968
628	1637	965
629	1639	962
630	1642	960
631	1644	957
632	1647	955
633	1650	952
634	1653	950
635	1655	947
636	1658	945
637	1660	942
638	1663	939
639	1665	936
640	1668	934
641	1670	931
642	1672	928
643	1675	925
644	1677	923
645	1680	920
646	1683	918
647	1685	915
648	1688	913
649	1690	910
650	1693	907
651	1695	905
652	1698	902
653	1700	899
654	1703	897
655	1705	894
656	1708	891
657	1711	889
658	1713	886
659	1716	884
660	1719	881
661	1721	879
662	1724	876
663	1726	873
664	1729	871
665	1731	868
666	1733	865
667	1736	862
668	1739	860
669	1741	857
670	1744	855
671	1746	852
672	1749	850
673	1751	847
674	1754	844
675	1757	842
676	1759	839
677	1761	836
678	1764	834
679	1766	831
680	1769	828
681	1772	826
682	1774	823
683	1777	821
684	1780	818
685	1782	815
686	1785	813
687	1787	810
688	1789	807
689	1792	805
690	1794	802
691	1796	799
692	1799	797
693	1801	794
694	1804	791
695	1806	789
696	1808	786
697	1811	783
698	1813	780
699	1815	778
700	1818	775
701	1820	772
702	1822	770
703	1825	767
704	1828	764
705	1830	762
706	1832	759
707	1835	756
708	1837	754
709	1840	751
710	1842	749
711	1845	746
712	1847	743
713	1849	740
714	1852	738
715	1854	735
716	1857	733
717	1860	730
718	1862	727
719	1864	725
720	1866	722
721	1869	719
722	1871	716
723	1873	714
724	1875	711
725	1878	708
726	1880	706
727	1883	703
728	1885	701
729	1888	698
730	1890	695
731	1893	693
732	1896	690
733	1898	688
734	1901	685
735	1903	682
736	1906	680
737	1909	677
738	1911	674
739	1913	672
740	1916	669
741	1918	667
742	1921	664
743	1923	661
744	1926	659
745	1928	656
746	1930	653
747	1933	651
748	1936	648
749	1938	646
750	1941	643
751	1943	641
752	1946	638
753	1948	635
754	1950	632
755	1953	630
756	1956	627
757	1958	625
758	1961	622
759	1964	620
760	1966	617
761	1969	615
762	1972	612
763	1974	610
764	1977	607
765	1980	604
766	1982	602
767	1985	599
768	1987	597
769	1990	594
770	1992	591
771	1995	589
772	1997	586
773	2000	584
774	2003	581
775	2005	578
776	2008	576
